feature_name,theme,sub_theme,broad_category,is_sensory_refuge,in_cbd,latitude,longitude
Melbourne Magistrates Court,Community Use,Government Building,Other,True,True,-37.8136147671606,144.956846193891
Melbourne Cricket Ground (MCG),Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,False,-37.8194921618419,144.983402879078
Melbourne International Karting Complex,Vacant Land,Vacant Land - Undeveloped Site,Other,False,False,-37.8310746380616,144.913822928701
St Patricks Cathedral,Place of Worship,Church,Places of Worship,True,True,-37.8101140950474,144.975901529712
Parliament House,Office,Office,Retail / Commercial,False,True,-37.811246655376,144.97372641185
Former Royal Mint,Office,Office,Retail / Commercial,False,True,-37.8121838748712,144.957055454136
Queen Victoria Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.8216381244891,144.971049530478
New Quay,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8152178789077,144.941617889032
Central City Studios,Purpose Built,Film & RV Studio,Other,False,False,-37.8142318521296,144.935655305362
New Quay Marina,Transport,Marina,Transport,False,False,-37.8152925454954,144.942283726231
Rod Laver Arena,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,True,-37.8220456119807,144.978487173787
Melbourne Park,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,True,-37.8209085970021,144.978735802793
Hisense Arena,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,False,-37.823110002667,144.981834802535
Melbourne Museum,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.8035518129299,144.971690718887
Elisabeth Murdoch Hall,Community Use,Public Buildings,Other,True,True,-37.8239733704282,144.967450979234
Melbourne Recital Centre,Community Use,Public Buildings,Other,True,True,-37.8238327885805,144.967682729667
Hamer Hall,Place Of Assembly,Theatre Live,Arts & Culture,False,True,-37.8199901009015,144.967992144257
Royal Park Railway Station,Transport,Railway Station,Transport,False,False,-37.7812684282825,144.951667833921
Flagstaff Railway Station,Transport,Railway Station,Transport,False,True,-37.8116384403974,144.9561186805
Athanaeum Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,True,-37.814954347831,144.96732254212
Her Majesty's Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,True,-37.8109975612842,144.969520183129
Flinders Street Railway Station,Transport,Railway Station,Transport,False,True,-37.8179063007545,144.967064817875
Sandridge Rail Bridge,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.8201763042794,144.96298113724
The Museum Of Australian Chinese History,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,True,-37.8107686127655,144.96923385414
All Nations Uniting Church,Place of Worship,Church,Places of Worship,True,False,-37.7959155303946,144.968981110942
Royal Park Golf Course,Leisure/Recreation,Private Sports Club/Facility,Parks & Open Space,True,False,-37.7819171308558,144.956309119368
Sidney Myer Music Bowl,Community Use,Public Buildings,Other,True,True,-37.8233471608733,144.974686151365
Harbour Town,Vacant Land,Current Construction Site,Other,False,False,-37.8139256326845,144.938123825625
Melbourne Star Observation Wheel,Leisure/Recreation,Observation Tower/Wheel,Parks & Open Space,True,False,-37.8116163666726,144.937588920436
Birrarung Marr,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.81806108403,144.97314667014
Artplay,Leisure/Recreation,Indoor Recreation Facility,Parks & Open Space,True,True,-37.8184198800044,144.971542586509
Parliament Railway Station,Transport,Railway Station,Transport,False,True,-37.8095762219384,144.972330132127
Immigration Museum,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,True,-37.8191798798062,144.960426777129
Fire Services Museum Victoria,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,True,-37.8085761281612,144.975373745366
North Melbourne Recreation Centre (Aquatic),Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,False,-37.7999470049655,144.943290801869
Eureka Tower,Mixed Use,Retail/Residential,Retail / Commercial,False,True,-37.8215157539717,144.964456721965
Welsh Presbyterian Church,Place of Worship,Church,Places of Worship,True,True,-37.8104478768313,144.959873260087
Lutheran Trinity Church,Place of Worship,Church,Places of Worship,True,True,-37.8109757054396,144.975729473552
St Johns Lutheran Church,Place of Worship,Church,Places of Worship,True,True,-37.8209399677168,144.967121099857
Victoria Police,Community Use,Police Station,Transport,True,True,-37.8164849024046,144.966486801188
State Netball Hockey Centre,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,False,-37.7857860016289,144.947580972027
University Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.800410711209,144.960398319302
Melbourne General Cemetery,Community Use,Cemetery,Other,True,False,-37.7891890023616,144.965785979892
Wesley College,Education Centre,School - Primary and Secondary Education,Education,True,False,-37.8485201804496,144.982227770988
Southern Cross Railway Station,Transport,Railway Station,Transport,False,False,-37.8181633057171,144.952944748845
Princess Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,True,-37.8107257091302,144.9723265962
University High School,Education Centre,Secondary Schools,Education,True,False,-37.7973136216903,144.956034449946
Melbourne Zoo,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Parks & Open Space,True,False,-37.7844449253712,144.951371205938
Malthouse Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,False,-37.8271768001126,144.966936821789
Thoroughbred Racing Gallery,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.8188662730911,144.9839700954
Docklands Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8209956785618,144.946781702342
Waterfront City,Mixed Use,Retail/Office,Retail / Commercial,False,False,-37.815056661803,144.939136876334
Point Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8233522700646,144.942102276731
Melbourne Theatre Company,Community Use,Public Buildings,Other,True,True,-37.823930384816,144.968297429894
