day_name,hourday,mean,median,std,count
Thursday,11,526.3931937692231,354.0,504.0476790816191,10079
Thursday,19,531.8019107632889,333.0,574.9677846075023,9839
Friday,11,538.0712092700802,350.0,532.2776651867232,10097
Friday,20,541.7312147616607,299.0,634.2983400382043,9755
Sunday,18,542.9278744593099,294.0,638.4174652121652,9941
Saturday,20,550.8021302744777,305.0,679.9681292062285,9764
Wednesday,8,552.9964132708977,314.0,639.1679382098579,10037
Sunday,11,561.3272727272728,331.0,600.5760949135274,10175
Thursday,8,562.943351222421,317.0,652.4151036110062,10062
Tuesday,8,566.8381066030231,314.5,666.8012020885003,10056
Monday,18,568.5262412781879,354.0,610.5628604969055,9889
Saturday,11,597.8008126052919,356.0,626.6179300743926,10091
Sunday,17,599.5529061102832,323.0,698.3974046521586,10065
Monday,15,610.9251299480208,360.0,654.9507370419911,10004
Monday,14,615.5538015785793,373.0,674.5928590693675,10009
Tuesday,14,629.642593883853,405.0,655.6480508395656,10039
Wednesday,14,632.0155502392345,404.0,668.1767188117036,10032
Tuesday,18,633.5886917960089,402.0,660.1786537739777,9922
Friday,19,637.4253072001625,370.0,708.7817879104958,9847
Tuesday,15,638.7256795778154,396.0,656.6805737538998,10043
Wednesday,15,646.3311752988047,398.0,673.6943272749626,10040
Thursday,14,662.687630610011,436.0,683.4059137591917,10049
Saturday,19,663.9215248910068,365.0,782.9832765278394,9863
Thursday,15,665.5367237261147,420.0,683.9527777955864,10048
Wednesday,18,670.5124458329134,435.0,680.9641041850616,9923
Monday,16,671.6636345461816,381.0,709.0451104284082,10004
Sunday,16,674.7850615812475,367.5,780.8894857032075,10068
Sunday,12,675.0580778301887,378.5,752.8419183155735,10176
Friday,14,685.8304326205867,429.0,717.586260574568,10055
Friday,15,694.0009953219867,429.0,725.4122636258637,10047
Monday,12,705.8031433402964,449.0,692.5837522077676,10053
Thursday,18,708.6277408972038,449.0,739.118218554245,9942
Saturday,12,708.7056783272222,393.0,771.7447272705123,10091
Monday,13,710.2779326827325,446.5,719.4632879417367,10042
Sunday,15,720.1762779156328,404.0,819.7283608366237,10075
Friday,12,729.6782918854652,484.0,700.6227986769605,10093
Saturday,18,731.1234667202896,402.0,843.7541257226524,9946
Tuesday,16,734.7351798346119,433.0,764.7526066858763,10037
Sunday,13,735.0480237154151,397.0,849.9550305597122,10120
Friday,16,740.1014723438121,449.0,770.5931176113515,10052
Friday,13,744.7458349861166,475.0,732.8281598905019,10084
Wednesday,16,748.7121922041671,451.0,772.9320381528265,10031
Wednesday,13,750.0534154090548,478.0,731.5805162514681,10072
Friday,18,751.0653225806452,455.0,811.5479154812625,9920
Tuesday,13,754.5438300407029,498.0,725.0259649221275,10073
Sunday,14,754.8017874875869,415.0,862.7795158873693,10070
Saturday,17,756.4924853190007,399.0,876.3752218557087,10047
Thursday,16,759.602130201075,456.0,784.5022821085929,10046
Wednesday,12,762.2600158667195,491.5,727.0806457476676,10084
Saturday,13,765.8431703204047,425.0,851.0627796269199,10081
Tuesday,12,769.675362031343,515.5,719.3831717856783,10082
Saturday,14,774.0873110580748,417.0,875.6067683974007,10056
Monday,17,775.0061061061061,457.0,798.9100427738039,9990
Thursday,13,780.5837467751538,518.0,744.5488310885539,10078
Thursday,12,792.15306830574,532.0,738.946536030513,10087
Saturday,16,797.8060666335157,431.0,916.5135789636181,10055
Saturday,15,799.6323587907717,430.0,910.8447320430885,10056
Friday,17,845.3000896682275,528.0,870.3664988844789,10037
Tuesday,17,888.8065416832868,536.0,908.437222906234,10028
Wednesday,17,897.5467783762218,568.0,897.6436169763266,10026
Thursday,17,926.7614779404441,576.0,941.4477716511836,10041
